Episode,Build,Reward,APFD,Improvement
111,621261626,2.0,1.0,0.0
112,724412477,29.52142395121541,0.35555555555555557,-0.0013071895424836555
113,721839271,28.0,0.3425655976676385,0.0
114,697269522,47.40101686675978,0.5281862745098038,-0.0008169934640522847
115,730008189,28.0,0.337463556851312,0.0
116,700194166,27.490397002063048,0.35276967930029157,-0.0007288629737609575
117,700204918,28.591902966724643,0.38921282798833823,0.0357142857142857
118,699264549,47.42556031036109,0.5277777777777777,-0.0016339869281045694
119,723724122,29.888294058716347,0.3607843137254902,-0.0013071895424836555
120,698578231,48.0,0.5290032679738561,0.0
121,690992502,49.0,0.5328131252501,0.0
122,730008189,27.632955081583255,0.35641399416909625,0.01895043731778423
123,621783216,2.0,1.0,0.0
124,713605920,29.023360883386562,0.3862745098039216,-0.0006535947712418277
125,721888379,28.0,0.3389212827988338,0.0
126,699264549,48.0,0.5294117647058822,0.0
127,720772092,27.076467446742864,0.347667638483965,-0.001457725947521915
128,614662422,2.0,0.6666666666666666,0.0
129,615211413,2.0,0.8333333333333334,0.0
130,730098655,28.0,0.3505830903790088,0.0
131,612547046,2.0,1.0,0.0
132,700194166,28.0,0.35349854227405253,0.0
133,706561001,28.0,0.35349854227405253,0.0
134,721839271,28.0,0.3425655976676385,0.0
135,721446689,28.0,0.3425655976676385,0.0
136,713605920,30.80387302491835,0.3934640522875817,0.006535947712418277
137,604431502,2.0,0.6666666666666666,0.0
138,724412477,30.0,0.3568627450980392,0.0
139,697021217,48.0,0.5294117647058822,0.0
140,721886814,27.507309599986463,0.3411078717201166,-0.005102040816326592
141,714050996,29.94285103108705,0.3516339869281046,-0.0039215686274509665
142,721834538,28.0,0.3389212827988338,0.0
143,700194166,27.687559269900298,0.35276967930029157,-0.0007288629737609575
144,612547046,2.0,1.0,0.0
145,689679884,47.529079914668515,0.5326797385620914,-0.001225490196078538
146,715596162,29.85557646373203,0.35228758169934643,0.0
147,720772092,27.12146106559921,0.34037900874635574,-0.008746355685131157
148,723942590,30.0,0.35555555555555557,0.0
149,696707092,27.284768858655127,0.34693877551020413,0.0
150,621261626,2.0,1.0,0.0
151,715596162,29.086476484191156,0.35228758169934643,0.0
152,699264549,47.823957443994416,0.5294117647058822,0.0
153,695146857,48.0,0.5339052287581699,0.0
154,721888379,28.0,0.3389212827988338,0.0
155,612547046,2.0,1.0,0.0
156,721888379,28.0,0.3389212827988338,0.0
157,607127979,2.0,0.6666666666666666,0.0
158,621285212,2.0,1.0,0.0
159,723211456,30.0,0.3745098039215687,0.0
160,689679884,47.39000628935575,0.5453431372549019,0.011437908496731986
161,703719021,28.0,0.35349854227405253,0.0
162,699003871,28.0,0.35787172011661805,0.0
163,694766862,48.0,0.5290032679738561,0.0
164,713605920,30.5471733447168,0.4058823529411765,0.018954248366013116
165,621783216,2.0,1.0,0.0
166,699003871,28.0,0.35787172011661805,0.0
167,723211456,29.42841406154318,0.3699346405228759,-0.004575163398692794
168,621285212,2.0,1.0,0.0
169,697021217,47.790483365844715,0.52859477124183,-0.0008169934640522847
170,730046856,28.0,0.347667638483965,0.0
